Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Gehyra australis,1845,Gekkonidae,11,Australasi,LC,10.7,Ter&Arb,1250100.51514383,223.824020385742,4.67445993423462,48,0.726092425932413,523112.755
Gehyra baliola,1851,Gekkonidae,1,Australasi,LC,21.8,Ter&Arb,198650.241517179,76.7252502441406,5.03793716430664,0,0.199706913631125,187845.865
Gehyra barea,1926,Gekkonidae,1,Australasi,LC,21.9,Arb,1978.35557668751,115.671394348145,71.9593658447266,0,0.0071419632333538,893115.816
Gehyra borroloola,1984,Gekkonidae,0,Australasi,LC,6.8,Ter,362363.341208523,154.781585693359,0.675348103046417,5,0.0191955531314346,523112.755
Gehyra brevipalmata,1874,Gekkonidae,0,Oceania,LC,13.8,Ter&Arb,466.604250018896,46.0366668701172,,0,1.28776752280922,
Gehyra catenata,1979,Gekkonidae,1,Australasi,LC,3.7,Arb,235273.986395082,351.721618652344,0.298528403043747,0,0.000640656778954554,523112.755
Gehyra dubia,1877,Gekkonidae,15,Australasi,LC,10.3,Ter&Arb,1615760.94223831,259.312713623047,3.2309410572052,48,0.692622661145115,523112.755
Gehyra fehlmanni,1962,Gekkonidae,0,IndoMalay,LC,3,Ter,292624.332714648,140.243103027344,203.618774414063,52,1.84915817715725,57951.352
Gehyra georgpotthasti,2012,Gekkonidae,2,Australasi,VU,50.2,Arb,1887.45605225607,429.015869140625,4.96132850646973,0,0.00351202426475616,
Gehyra insulensis,1858,Gekkonidae,2,,,,,,,,,,
Gehyra interstitialis,1894,Gekkonidae,0,Australasi,DD,15.6,,352.997857163168,33.1210441589356,290.985748291016,0,0.0861741531207886,893115.816
Gehyra ipsa,2005,Gekkonidae,1,,,,,,,,,,
Gehyra kimberleyi,1982,Gekkonidae,0,Australasi,LC,1.5,Ter&Arb,9.99628070712289,7.04424619674683,0.155413240194321,0,0.100141993269983,523112.755
Gehyra koira,2005,Gekkonidae,1,Australasi,LC,17,Ter,52745.5850020717,138.01203918457,0.147476211190224,0,0.000733335405344553,523112.755
Gehyra lacerata,1962,Gekkonidae,1,IndoMalay,LC,4.4,Ter&Arb,98234.4219746677,121.044158935547,161.136047363281,5,0.666602478665625,71370.2186666667
Gehyra lazelli,1985,Gekkonidae,2,Australasi,LC,4.4,Ter&Arb,585531.425470949,142.806686401367,3.20991945266724,21,0.00102134800356737,523112.755
Gehyra leopoldi,1930,Gekkonidae,0,Australasi,DD,2,,3262.86465015845,60.882999420166,66.0245132446289,0,0.000759086016243693,893115.816
Gehyra marginata,1887,Gekkonidae,0,Australasi,LC,50.2,Arb,22924.8733512787,278.005859375,46.2131385803223,0,0.357264136931871,893115.816
Gehyra membranacruralis,1989,Gekkonidae,0,Australasi,LC,40.2,Arb,74088.1939563522,131.074325561523,11.0204057693481,5,0.112819380064169,
Gehyra minuta,1982,Gekkonidae,0,Australasi,LC,2.7,Ter,174591.411978642,259.994781494141,0.0420850925147533,0,0.000133512247923305,523112.755
Gehyra montium,1982,Gekkonidae,1,Australasi,LC,3,Ter,354358.850152862,527.761413574219,0.1322301030159,5,0.102028426778578,523112.755
Gehyra moritzi,2014,Gekkonidae,0,Australasi,LC,2.7,Ter,3961.17210430365,685.051452636719,4.7242021560669,0,0.000498708251564878,523112.755
Gehyra multiporosa,2012,Gekkonidae,1,Australasi,LC,3.7,Ter&Arb,19126.1772202254,250.793365478516,0.0125169493257999,0,0.00134867592717493,523112.755
Gehyra butleri,1834,Gekkonidae,32,IndoMalay,LC,5.6,Arb,7604.45026420996,656.650268554688,492.174682617188,19,0.584830556871288,255152.621
Gehyra nana,1978,Gekkonidae,6,Australasi,LC,3.5,Ter,884132.913181908,193.356185913086,0.547973096370697,10,0.061292716218329,523112.755
Gehyra occidentalis,1984,Gekkonidae,0,Australasi,LC,8.9,Ter,65960.0717873237,231.093704223633,0.0752738937735558,0,0.00263435707103394,523112.755
Gehyra oceanica,1830,Gekkonidae,23,Australasi,LC,60.6,Arb,94362.0831390931,317.510192871094,19.3168621063232,0,0.18318790232914,31978.099
Gehyra pamela,1982,Gekkonidae,1,Australasi,LC,7.1,Ter,21066.528017198,106.589363098145,0.199564009904861,0,0.00199646106155697,523112.755
Gehyra papuana,1874,Gekkonidae,0,Australasi,LC,18.5,Arb,95648.4447426533,352.337921142578,18.5561008453369,2,0.396323978427175,152901.428
Gehyra pilbara,1965,Gekkonidae,1,Australasi,LC,6.1,Ter&Arb,1617423.50016615,355.762756347656,0.0573453418910503,0,0.300053255386892,523112.755
Gehyra pulingka,2014,Gekkonidae,0,Australasi,LC,2.7,Ter,18690.5667046449,547.926513671875,0.0692635998129845,0,0.000324066624805495,523112.755
Gehyra fenestra,1914,Gekkonidae,4,Australasi,LC,5.8,,18011.4153976377,487.692230224609,0.327138632535934,0,0.00153823569892908,523112.755
