Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Pleurodema_bufoninum,9.32275,527.9175,14.725,3.40825,31.31725,38.825,2821.99888821646,5297.00454563693,252.002225992464,2751.00362353901,324.99094286503,518.962401947996
Pleurodema_cinereum,9.70425,233.73575,6.65,6.575,103.65575,12.6,2822.00737834573,1817.04490990038,183.994289592201,2805.99875425886,936.982724934252,156.044577616611
Pleurodema_cordobae,17.45,543.66075,15.625,10.5665,78.22025,35.275,2888.00223019393,4883.96607461877,233.997913198491,2823.00264724093,715.997206583285,383.993735436952
Pleurodema_diplolister,27.30425,135.21525,4.35,25.70825,89.01725,16.225,2990.001532741,1182.98412863592,134.999999788,2976.00195073082,872.998470137366,121.997087996717
Pleurodema_fuscomaculatum,27.027125,147.943125,4.9,24.999875,76.162875,42.5,2993.99923464082,1624.4568388419,145.500000094298,2968.49986115765,714.001463132715,594.48593162893
Pleurodema_guayapae,21.008375,548.822125,15.6,13.762375,85.50525,16.0875,2936.49728330662,5227.39960650967,250.499023148048,2863.99728072969,801.994351737336,166.008297814573
Pleurodema_kriegi,18.420875,545.270125,15.6375,11.504,79.396,30.3,2887.0041088967,4731.01590667671,227.00000106369,2824.00389949135,729.495814678632,370.488031951714
Pleurodema_marmoratum,9.201,170.491875,4.95,6.574875,107.16,14.0125,2808.00299328191,1440.47648274211,171.988580168241,2782.51490728697,951.936922236492,205.587459010124
Pleurodema_nebulosum,17.3355,592.4905,16.625,9.6165,64.98475,26.8,2899.99916324228,5592.98343459809,266.997632044156,2826.00041809871,654.004438302617,339.961441198654
Pleurodema_somuncurense,13.57275,664.2155,18.475,5.66675,20.43025,40.1,2852.00709883716,5610.08260561241,267.004034248864,2780.00598599187,213.012798703492,578.983568315124
Pleurodema_thaul,12.872875,404.3945,11.25,8.508125,77.5055,73.2625,2840.49365683252,3603.07033080344,180.504666184565,2794.99135841825,678.008072037838,1597.87341810713
Pleurodema_tucumanum,19.3855,526.152,15.1,12.2335,82.86325,20.925,2928.99944387693,4883.96607461877,232.999303933747,2862.0005614804,812.002230596561,211.016819510424
Pristimantis_aaptus,25.571875,63.02775,1.925,24.825,18.288875,692.05,2983.99986079225,433.003898063727,81.0003481714291,2977.00006975143,187.999860144648,6762.58136710345
Pristimantis_abakapa,25.027,74.0315,2.75,24.15,68.47425,172.025,2960.99930247705,446.026746121846,100.00000031186,2955.99902384735,572.989127521173,2576.91200306688
Pristimantis_academicus,26.146,53.753375,1.55,25.445625,21.673375,481.3125,2988.99909474536,420.503132519721,77.0013231193068,2981.99909474536,238.495128943434,4782.1415021044
Pristimantis_acatallelus,25.43925,22.1535,0.65,25.2085,15.53375,1168.475,2955.99776962258,259.999580936241,61.004179271321,2953.99735180543,185.011981817547,9263.11532138178
Pristimantis_acerus,19.7415,42.36425,1.425,19.25,54.858,193.925,2832.02604167462,315.034827497632,88.9967978461389,2828.02548440842,405.966989012058,3075.28000629192
Pristimantis_achatinus,25.241375,32.40075,1.0375,24.8165,40.78475,348.5375,2975.99763241531,298.518941664544,69.4977724538696,2971.99756276959,383.001321370848,3727.63320238698
Pristimantis_achuar,24.08125,60.087,1.775,23.25,18.9965,827.4,2979.00013930285,580.004735534002,84.9991644810874,2970.0000000194,189.003065590146,5974.01943488183
Pristimantis_actinolaimus,21.34375,24.861,0.775,21.125,22.86675,680.525,2913.00696630677,229.034684541732,107.999442877795,2909.00682694452,277.025488671964,5197.56141059758
Pristimantis_actites,24.875,64.8105,1.925,24.05825,88.37325,93.95,2968.98203236961,490.952929303176,70.0025068526019,2961.98272871647,819.927157814702,1578.18230398227
Pristimantis_acuminatus,25.3125,59.8265,1.775,24.52525,19.85775,594.525,2982.99958229545,476.00139033631,83.999582097045,2974.99944307999,194.998330720658,5579.94574201897
Pristimantis_acutirostris,24.88325,30.40925,1.05,24.5915,38.42025,319.225,2943.99498260717,255.018250349009,86.0012540530578,2940.99484325352,319.028274953761,4262.58687383812
Pristimantis_adiastolus,18.59375,75.225375,2.175,17.599875,51.601875,214.925,2911.01643046369,567.976471399865,105.498746895259,2902.516708856,498.496452411522,2865.45079857896
Pristimantis_aemulatus,24.97075,32.5565,1.05,24.5665,29.203,513.175,2967.99359259315,277.999861306973,65.0071035661394,2964.99359259315,256.030783296205,9125.94868971234
Pristimantis_affinis,20.102,41.93225,1.4,19.6085,32.80625,308.05,2931.99888902602,509.042072733474,94.0016718446031,2924.49833171452,428.998888975058,2636.76292665481
Pristimantis_alalocophus,21.398875,22.74175,0.7125,21.195875,21.441125,703.4875,2922.50675564048,240.031967413958,97.499233990123,2919.00654665591,303.004809006753,4379.63992759469
Pristimantis_albericoi,25.43925,22.1535,0.65,25.2085,15.53375,1168.475,2955.99776962258,259.999580936241,61.004179271321,2953.99735180543,185.011981817547,9263.11532138178
Pristimantis_albertus,15.09175,77.5265,2.25,14.05825,54.85325,182.125,2882.02102512299,639.951266091783,104.000278480991,2873.02158201161,517.982875208779,2645.19267603196
