Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Galictis cuja,22.899125,294.42,8.2125,18.80825,72.05125,45.325,2945.00410897176,2877.43392783943,170.497497600782,2902.0011131748,660.509324062749,517.978559653514
Galictis vittata,26.261375,77.631,2.45,25.38325,63.03575,131.4625,2987.00034825742,732.501405849911,108.999791660883,2978.9988857323,598.001046747127,1308.40002400305
Geocapromys brownii,26.799,90.6105,2.5625,25.61225,48.42675,177.4125,2997.50020895628,918.018669233547,39.0031343648145,2985.4999999663,502.99275724837,1625.01775222503
Geocapromys ingrahami,26.819,195.117,5.3,24.4915,51.65725,118.9,2985.9994426286,1711.00933855804,59.0002787771126,2964.99930328575,470.989132068719,1265.05628357292
Geomys tropicalis,24.1375,332.269125,8.85,19.5875,78.9725,59.3,2977.49923354961,2971.47286533135,135.49436312496,2934.99992906636,824.974923035201,691.533775337108
Geoxus annectens,12.829,357.7515,9.85,8.75,62.7675,144.1,2842.00139046611,2886.88172599606,158.989990420445,2806.00305849491,538.001380413451,1986.1219788054
Geoxus valdivianus,11.38325,372.514,10.4,6.9335,62.18125,142.425,2803.00653821933,3668.04127953235,171.007380012683,2755.99860372849,489.036895556939,1756.72704053834
Glaucomys volans,14.57925,831.31025,23.175,3.6835,21.11075,215.7,2865.9990245337,8369.03152648993,326.001394197684,2755.99749017379,198.994151682233,2282.06017552433
Glironia venusta,26.17925,58.7455,1.775,25.4665,54.8745,186.375,2985.99999987321,556.998750283415,99.999721841086,2978.0002786423,539.995128074029,1788.95820016989
Gracilinanus aceramarcae,14.22925,133.436625,3.95,12.31225,72.51425,160.9375,2862.51719780981,1243.50092047549,114.998886669796,2843.51671024504,555.994919586071,2058.51299313261
Gracilinanus agilis,26.002,136.08975,4.5,24.4665,77.43025,43.2,2977.00111420462,1328.01812359437,145.001392603622,2958.0005577172,735.993589861448,504.970049755975
Gracilinanus dryas,24.198,43.80175,1.3,23.69975,33.2465,260.325,2920.02117177632,447.06909037476,90.0041782812988,2914.02117169751,388.012815411309,2628.89341259561
Gracilinanus emiliae,27.147,80.41425,2.5125,26.375,56.60925,201.8,2996.99999999029,790.976672830826,102.991781417092,2988.99999984141,561.006901138586,1816.81332247775
Gracilinanus marica,26.61875,60.230375,1.825,25.8625,50.76125,99.0875,2987.50271615235,639.516583860966,97.002854864035,2978.00299483804,487.244149540699,1089.5283847712
Gracilinanus microtarsus,21.802125,244.5765,6.6125,18.5585,50.5585,154.1625,2931.00125493434,2500.95238537652,155.998746956658,2899.00153196453,442.005326855312,1964.34399594677
Graomys chacoensis,21.90425,419.5385,12.025,16.08325,78.3655,31.025,2943.99512273632,4114.98204665636,210.997911272634,2884.00139400206,715.997206583285,337.015057714928
Graomys domorum,15.302,288.03575,8.3,11.070625,96.878875,15.675,2924.50362552851,3162.4671710347,185.499305198653,2875.00779990557,860.463655549037,248.496179976282
Graomys edithae,15.610625,494.945625,14.025,9.1625,94.279875,9.025,2935.99520044265,5135.35658687523,248.495267624794,2864.4977053707,921.490237720679,96.5116365564894
Graomys griseoflavus,18.1835,498.01675,14.2,11.3915,63.86775,37.7,2921.00250621898,4718.05443297632,225.000419408224,2845.99818717742,589.007513615152,455.044745564729
Gyldenstolpia fronto,23.8815,420.5305,12.325,18.46675,53.51675,92.225,2948.00125295026,3986.97452041354,202.998885925803,2896.00153146396,489.990661255696,1149.05018137832
Habromys chinanteco,20.3375,163.8915,4.675,18.075,84.76025,78.925,2913.01977533383,1750.12728530807,153.999999247469,2890.01740785593,775.028966459157,1196.97771381068
Habromys delicatulus,19.01575,186.607125,5.4375,16.570875,100.273,25.4375,2884.50424916929,1887.06054047767,194.002020282332,2858.50348279422,975.486909253977,359.984961360093
Habromys ixtlani,20.3375,163.8915,4.675,18.075,84.76025,78.925,2913.01977533383,1750.12728530807,153.999999247469,2890.01740785593,775.028966459157,1196.97771381068
Habromys lepturus,22.327125,174.238125,4.9375,19.916625,83.99425,99.2875,2947.51051437895,1975.55528604563,155.997422384076,2920.50933069819,818.997704225422,1156.0143239301
Habromys lophurus,21.2,96.026,2.9,20.11675,78.2685,116.275,2938.00250683308,820.119923934718,139.998188894554,2926.00069618282,889.957369375295,383.11670277635
Habromys schmidlyi,20.823,146.23425,4.375,18.99175,103.40025,24.1,2964.98592879065,1798.02047161073,196.000834185803,2942.98509326713,1060.97297694704,205.025636288748
Habromys simulatus,23.9105,265.29825,7.375,20.2665,69.14875,121.2,2970.00222811542,2930.8648703865,152.983150405777,2926.00473446393,636.016716447156,1564.92728441972
Handleyomys chapmani,20.3375,190.125,5.425,18.075,77.79625,93.05,2913.01977533383,1821.21115247814,153.999999247469,2890.01740785593,775.028966459157,1118.92005898476
Handleyomys fuscatus,25.43925,22.1535,0.65,25.2085,20.0155,726.45,2955.99776962258,259.999580936241,80.9998609733891,2953.99735180543,317.004320539184,4361.44467597987
Handleyomys intectus,22.65425,27.91775,0.95,22.375,32.809,405.75,2904.02270303727,287.022007871948,103.99749289168,2901.02228515552,367.022562076254,3453.88273428695
Handleyomys melanotis,23.722875,151.824,4.25,20.870875,110.69225,18.3625,2963.49763340801,1403.09346663475,173.504108162432,2942.48217364377,1086.47869440178,173.078778999681
Handleyomys rhabdops,23.097875,128.243125,3.4875,21.387375,59.402625,213.0125,2956.00647633647,1493.04735809779,124.00125369708,2934.50571032949,565.990739175971,2536.38411220884
Handleyomys rostratus,25.7085,167.399,4.375,23.6915,71.72475,94.3,2986.97994481168,1799.91450433025,146.999721387286,2962.0011140846,721.014211025118,936.021302116948
Handleyomys saturatior,24.277,104.55275,2.975,22.59175,68.7045,144.675,2973.00208930096,1312.04568281708,133.000000145986,2950.001671543,810.925898959381,544.316206855922
Herpailurus yagouaroundi,25.941625,107.702375,3.325,24.7835,64.904875,87.6125,2983.00076584315,968.00822208399,124.999721572582,2971.49568014259,609.994985835522,977.040504283071
Heterogeomys cherriei,25.826,65.478625,2.225,24.94575,65.815875,134.15,2973.0027857042,983.50174475105,117.491921171685,2958.50146222133,541.010446681442,1943.99420952688
