inertia,OMI,Tol,Rtol,omi,tol,rtol
Anthus.nattereri,4.23353535380075,1.85400574842331,1.20888560501504,1.1706440003624,43.8,28.6,27.7
Asthenes.luizae,3.93462137662644,3.36674255566941,0.142670020484468,0.425208800472558,85.6,3.6,10.8
Carpornis.melanocephala,3.68311924395879,0.687839442055477,0.996170731233021,1.9991090706703,18.7,27,54.3
Cercomacra.brasiliana,3.25266707937778,1.40584867537477,0.426612095817616,1.42020630818539,43.2,13.1,43.7
Chiroxiphia.pareola,5.30689625460285,2.70521259527199,0.929148626032814,1.67253503329805,51,17.5,31.5
Cinclodes.fuscus,6.78925650986322,6.53250589604449,1.44108643815644e-05,0.256736202954349,96.2,0,3.8
Chamaeza.meruloides,2.81028237629117,0.288358401766435,0.435098629191917,2.08682534533282,10.3,15.5,74.3
Corythopis.delalandi,2.96558879516516,0.0960005463268919,0.318272188112293,2.55131606072597,3.2,10.7,86
Culicivora.caudacuta,2.88003190908941,0.227911106180401,0.964509544551484,1.68761125835753,7.9,33.5,58.6
Cyanocorax.cyanomelas,2.28255407347861,1.39242604527709,0.199772803017529,0.690355225183988,61,8.8,30.2
Dendrocolaptes.platyrostris,3.77798065382633,0.0186312283913691,1.60177545660782,2.15757396882714,0.5,42.4,57.1
Dendroplex.picus,6.24866226984038,3.99247650174602,0.702526036117167,1.55365973197719,63.9,11.2,24.9
Formicivora.rufa,3.53892628486535,1.04690230925901,0.650366106233576,1.84165786937277,29.6,18.4,52
Dysithamnus.plumbeus,3.72214160644765,2.13118228499628,0.262374092635133,1.32858522881624,57.3,7,35.7
Dysithamnus.xanthopterus,2.64483785698354,0.496304088570229,0.722428547162635,1.42610522125067,18.8,27.3,53.9
Eleoscytalopus.indigoticus,3.56465154953878,0.060653982247324,1.31866169796032,2.18533586933113,1.7,37,61.3
Eleoscytalopus.psychopompus,7.40388544412989,6.24143690650439,0.486830865983712,0.675617671641787,84.3,6.6,9.1
Euscarthmus.rufomarginatus,2.2173612647591,0.709560959387347,0.580070753681122,0.927729551690629,32,26.2,41.8
Fluvicola.nengeta,3.74856381911838,0.0505755760183049,1.92446883753185,1.77351940556823,1.3,51.3,47.3
Geositta.poeciloptera,2.23250495751917,0.712530323245983,0.531537691074691,0.988436943198495,31.9,23.8,44.3
Grallaria.varia,4.01944121336884,0.0996748089660003,1.47272341897936,2.44704298542347,2.5,36.6,60.9
Hemitriccus.margaritaceiventer,3.17761413452058,0.472536417620737,0.962171898157938,1.74290581874191,14.9,30.3,54.8
Synallaxis.hellmayri,7.47532621786605,7.42835762544931,0.0140171800654466,0.0329514123513013,99.4,0.2,0.4
Hemitriccus.mirandae,8.15726767197081,6.37734339653882,0.509440137291589,1.27048413814041,78.2,6.2,15.6
Herpsilochmus.pileatus,8.22632861194603,7.18115714671695,0.518380533570722,0.526790931658357,87.3,6.3,6.4
Herpsilochmus.scapularis,5.37154634421509,2.80380443456743,0.433511794289702,2.13423011535796,52.2,8.1,39.7
Clibanornis.rectirostris,2.73260794163269,0.981234114110901,0.635146142559579,1.11622768496221,35.9,23.2,40.8
Hylophilus.pectoralis,2.36080471879707,1.72110861595475,0.230055164640827,0.409640938201493,72.9,9.7,17.4
Hypoedaleus.guttatus,3.15434411988348,0.00542295253068508,0.44329366155405,2.70562750579874,0.2,14.1,85.8
Lepidocolaptes.angustirostris,3.40334336267324,0.120695065067846,1.60033867316545,1.68230962443995,3.5,47,49.4
Lepidocolaptes.falcinellus,4.93545073668624,2.99350603615861,0.737034067660253,1.20491063286737,60.7,14.9,24.4
Sporophila.beltoni,4.25042186678496,1.53225567980114,1.58140061587792,1.1367655711059,36,37.2,26.7
Chamaeza.campanisona,3.60268473354124,0.104355102806071,1.78105833812777,1.7172712926074,2.9,49.4,47.7
Empidonomus.varius,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
