Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Scinax_exiguus,2.36875,17.3925,0.525,2.7665,13.752,125.95,162.98802212135,1025.85847483581,47.9955422517366,150.98983289441,580.954601211441,5220.44254737013
Scinax_faivovichi,0,0,0,0,0,0,92.9997046859899,483.99250737755,88.9934551614753,92.00040071684,309.985921345187,2022.80278919518
Scinax_flavoguttatus,5.677,123.85425,3.125,7.08325,63.26425,283.3,168.97980398111,2258.8789815113,137.99540163557,170.98607543982,714.99399740002,4901.57900114511
Scinax_funereus,9.6105,36.08625,1.2,9.47525,60.99725,747.025,283.97799005334,1005.89051552249,61.9927590796538,289.97743295733,625.969780840811,16526.2594478357
Scinax_fuscomarginatus,10.6895,412.307,12.1,13.67475,98.74025,424.25,207.97994446042,4401.96589416648,200.998886709195,222.98537986103,1068.94884687131,6465.72647186985
Scinax_fuscovarius,14.70175,428.10175,12.35,17.9335,93.69275,424.25,252.97338576999,4398.95502698631,191.997354344408,275.97672979526,1000.96393324289,6461.72758632702
Scinax_garbei,10.68975,129.252,4,10.65025,68.30125,793.3,315.96977673941,1971.89736937247,96.9974930088098,318.97033356802,765.000973269893,16843.0281178833
Scinax_granulatus,6.34575,254.75575,7.875,8.4,37.1185,318.2,118.99177412414,2751.961847091,162.000280418313,115.98955683848,404.002491113201,5636.69051489681
Scinax_haddadorum,0,0,0,0,0,0,42.99484640635,281.965180315757,32.995821177105,45.9947072583,98.984956939093,272.956401225217
Scinax_hayii,5.677,123.85425,3.125,7.08325,60.929,279.6,168.97980398111,2258.8789815113,137.99540163557,170.98607543982,694.985637450536,4901.57900114511
Scinax_heyeri,1.06225,2.05725000000001,0,1.03325,5.70975,20.225,104.98104661318,835.86107344359,97.9935937377304,105.9813252851,451.940776099258,1766.76018499209
Scinax_hiemalis,2.929,42.952,1.275,2.79975,22.713,130.85,100.99944611954,873.92575549836,100.996662243392,97.9997244760498,493.010172375489,3353.58373868072
Scinax_humilis,3.54125,22.34225,0.475,3.975,27.31825,95.55,156.98565841334,1107.92366560086,117.996242936153,162.98677302311,558.956294149787,2950.74071309159
Scinax_ictericus,5.79775,47.6015,1.625,6.01675,34.892,321.8,241.95335486231,1141.91422809567,50.9981897395521,256.94889919908,436.954175858852,6590.82788866879
Scinax_imbegue,3.38725,94.74075,2.55,4.26675,35.8815,190.425,118.98886062663,1550.96478680043,116.995962402144,123.98760782497,462.002641007542,4074.64386680161
Scinax_insperatus,0,0,0,0,0,0,124.99359794683,384.05508917026,62.9983396266656,127.99276279535,407.96077378354,1543.89433280377
Scinax_iquitorum,0.929000000000002,11.5715,0.45,1.025,55.95625,613.45,27.9951260539501,371.964489333965,55.9965193559028,29.9947079767999,497.988858611358,6147.04903934903
Scinax_jolyi,0.15625,6.7525,0.175,0.199999999999999,5.04325,1.125,29.99665593393,283.961411093572,85.9959588272381,29.9970739596602,188.989682872155,1838.94078525475
Scinax_juncae,1.25425,15.52775,0.4,1.44175,34.4955,128.925,67.9962379451299,561.01523095328,78.9990271953291,68.9966565610898,642.922209496104,3979.83157550399
Scinax_jureia,0,0,0,0,0,0,59.9962395472403,568.9555932971,77.9920678993321,60.99554413859,129.019507536897,1728.10157560557
Scinax_karenanneae,0,0,0,0,0,0,15.99916479576,89.994847386832,8.99999976239229,15.99916477636,72.002646161376,1274.08176119594
Scinax_kautskyi,0,0,0,0,0,0,97.98341416935,835.86107344359,93.9873166491094,103.98202105372,390.955238262385,1563.82252237522
Scinax_kennedyi,2.10625,58.2215,1.55,1.3665,31.327,191.175,128.98648956125,1054.97129828353,49.9972142320134,125.98565387718,444.992340394186,8777.66139059879
Scinax_lindsayi,0.654250000000001,13.068,0.55,0.816500000000001,13.0005,148.625,135.98802609991,255.991645044875,18.0008365856995,132.98816548957,177.023398629091,8466.70208201701
Scinax_littoralis,1.79375,68.0415,1.675,2.2415,22.35975,130.6,108.98718268631,1498.86234375651,114.991509597708,109.98927215507,418.006253821398,3752.76197247019
Scinax_littoreus,2.756,12.2055,0.375,3.05825,12.97425,28.825,126.99526670998,993.96311207905,115.995127958191,133.99540678706,467.932473148252,1917.68626241557
Scinax_longilineus,2.58925,46.71425,0.7,3.01675,21.02025,63.725,125.99680484961,759.99288137841,28.998746295958,129.99750083144,348.976742909103,1453.94209461509
Scinax_luizotavioi,4.3455,78.93875,1.45,5.21675,25.6845,73.325,170.98593625104,1158.97282792679,59.994713226664,182.98551824989,498.9751169072,2278.75457466176
