"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"695","Nasuella meridensis","7.00013927129846","77.9983979050402","53.4983286648063","10.0000000122979","23.9998608461043","42.5035519414541","214.466569872578"
"696","Nasuella olivacea","7.99958221378781","79.9987460802109","45.0068254754547","9.99958221378781","17.0022284529458","34.995544054313","307.577986796245"
"697","Neacomys dubosti","7.99993029079343","68.0001390008153","82.4995127987927","11.9997213419989","25","55.999931025562","176.506754681657"
"698","Neacomys guianae","7.99888573940749","74.9999998491805","59.0027876204291","10","25","46.9993035295857","261.006417911401"
"699","Neacomys minutus","7","76.9998606823992","41.9997214376988","9","25","35.4995129300999","348.506888653961"
"700","Neacomys musseri","7.49999999600001","72.9997909635003","57.9998612006965","10.0001392493035","23.0002088588035","57.4996518758931","142.501389971469"
"701","Neacomys paracou","7.99930349758628","71.9997212534092","65.9984673772248","10.0001393790006","25","54.000418486779","239.999169581284"
"702","Neacomys pictus","5.99999998059857","75.0016713127953","41.9954037840029","7.99972144199887","25.0001392790006","42.9993036596101","273.999581539016"
"703","Neacomys spinosus","7.99986070439613","69.4998605549933","62.4980507617609","10.9999304258933","24","57.9997215555817","135.005009861573"
"704","Neacomys tenuipes","7.00006963809746","79.0008355775043","45.5054323645196","9.00000000600028","22.9999303455969","41.997214896955","272.975275750523"
"705","Necromys amoenus","11.0002786186097","69.9997214859988","135.999722455322","16.9993035049972","5.00027859157115","94.9892778117137","28.005712047418"
"706","Necromys benefactus","9.99986091638469","41.9997212499989","487.99944297445","22.9999999806125","11.0000000193869","53.9994417892206","70.004043631627"
"707","Necromys lactens","10","58.0001391790006","264.016724147824","18.000000188","12.0009750970039","84.9942909105535","21.001667979634"
"708","Necromys lasiurus","9","63.9997216419988","140.000420417001","14.0001393795969","22.9998606323981","74.0012536659172","45.0048752030724"
"709","Necromys lenguarum","8.00013935900056","59.0002785072072","190.995545245796","14.0001393396047","21.9998608403958","62.0006962710028","78.0157278877489"
"710","Necromys obscurus","8.99972104015631","39.9991636530831","451.989682759871","21.9986062293819","9.00013939838804","19.0009730468449","166.004040466116"
"711","Necromys punctulatus","7.5000696534975","78.5004873782977","60.0011837007108","9.00034821410025","21.4990253424833","35.0011839444037","361.021698426676"
"712","Necromys temchuki","9","44.0002784020008","401.996588129397","19.9999999903037","16.5001392570008","42.998675933495","153.504810404605"
"713","Necromys urichi","7.99986066640588","79.4989549339992","53.5001400106246","9.49944283111019","22.999930293907","45.5032733495359","270.991157074266"
"714","Nectomys apicalis","7","75.0000696391993","49.0002784766072","9","24.0002089348024","40.4993040492993","253.510996405685"
"715","Nectomys grandis","7.99986072469904","80.9993036083103","42.9974926167978","9.99972146139946","20.4998604276931","37.5009054756883","320.001393769673"
